,Invalid
0,2124
1,2125
2,801491022
3,2126
4,801491024
5,2129
6,2128
7,2131
8,801491032
9,801491033
10,801491034
11,4226
12,4227
13,4228
14,4229
15,4230
16,4231
17,4236
18,4237
19,707238031
20,707238032
21,822917266
22,822917267
23,822917268
24,707238037
25,822917269
26,707238039
27,822917276
28,680665273
29,680665274
30,995539136
31,680665281
32,680665282
33,680665283
34,995539137
35,995539141
36,995539140
37,731965676
38,731965677
39,731965685
40,811481351
41,811481352
42,811481356
43,811481357
44,811481358
45,870678819
46,870678820
47,870678821
48,870678822
49,870678827
50,827795787
51,827795788
52,827795793
53,827795794
54,827795796
55,779321691
56,779321692
57,779321699
58,771199334
59,771199335
60,771199336
61,771199337
62,695953770
63,771199338
64,695953772
65,69997
66,695953774
67,771199343
68,771199344
69,69999
70,70000
71,70001
72,69998
73,70004
74,815014287
75,815014288
76,815014291
77,815014292
78,740379028
79,740379029
80,740379030
81,740379031
82,740379035
83,781969819
84,781969820
85,781969828
86,781969829
87,68008
88,705745329
89,705745330
90,865622449
91,705745332
92,865622454
93,865622456
94,865622457
95,705745338
96,705745339
97,880939451
98,880939452
99,880939453
100,880939454
101,880939461
102,880939462
103,694780380
104,694780382
105,789662190
106,789662191
107,495
108,789662193
109,496
110,789662195
111,497
112,500
113,502
114,503
115,504
116,505
117,744352295
118,744352296
119,744352301
120,744352304
121,850242099
122,850242100
123,850242105
124,850242106
125,850242107
126,850242108
127,850242109
128,850242110
129,660802115
130,660802116
131,660802117
132,660802118
133,785769033
134,785769034
135,660802124
136,667728463
137,667728464
138,667728465
139,785769040
140,667728467
141,785769042
142,874633809
143,874633810
144,874633812
145,874633813
146,702388825
147,702388826
148,702388827
149,702388828
150,874633814
151,702388831
152,702388833
153,781970020
154,781970023
155,889002610
156,889002612
157,804164214
158,804164215
159,804164216
160,889002615
161,889002616
162,889002617
163,804164222
164,804164223
165,4735
166,4736
167,4734
168,760322694
169,4743
170,4742
171,760322698
172,760322700
173,771199640
174,771199642
175,771199643
176,771199649
177,771199650
178,768852653
179,768852654
180,768852655
181,768852662
182,56006
183,56007
184,6856
185,6857
186,6858
187,6859
188,6860
189,56008
190,56012
191,56013
192,56011
193,6866
194,6867
195,64221
196,64222
197,64223
198,64226
199,64227
200,64231
201,64232
202,990376687
203,990376688
204,824845057
205,824845058
206,824845059
207,756122389
208,756122390
209,756122392
210,756122393
211,768852761
212,768852762
213,768852769
214,768852770
215,58157
216,58158
217,58159
218,58160
219,58166
220,58167
221,58168
222,815014718
223,815014719
224,815014725
225,2897
226,2898
227,2899
228,2900
229,820706148
230,820706149
231,820706150
232,820706151
233,820706152
234,820706153
235,820706154
236,820706155
237,860650368
238,860650369
239,860650370
240,860650371
241,70531
242,70532
243,860650374
244,70535
245,860650376
246,70530
247,70539
248,70540
249,5014
250,5015
251,5016
252,5023
253,714824608
254,714824609
255,714824610
256,714824611
257,714824612
258,5024
259,714824614
260,62375
261,775474088
262,775474089
263,62376
264,775474091
265,62377
266,62374
267,62383
268,62384
269,775474097
270,874691521
271,874691523
272,874691524
273,874691525
274,760323023
275,760323025
276,707257302
277,707257303
278,760323032
279,707257311
280,707257312
281,707257313
282,860650504
283,860650505
284,860650510
285,889068558
286,860650512
287,860650513
288,889068559
289,889068560
290,889068561
291,889068562
292,782154775
293,889068567
294,889068568
295,782154780
296,782154781
297,782154782
298,820706334
299,820706341
300,820706342
301,996299822
302,996299823
303,996299824
304,996299830
305,3158
306,3159
307,3160
308,3163
309,3164
310,792243324
311,792243325
312,792243329
313,792243331
314,798946459
315,798946460
316,798946464
317,798946465
318,798946466
319,798946468
320,882009257
321,882009260
322,882009264
323,882009272
324,882009276
325,882009277
326,782154974
327,782154979
328,782154980
329,782154981
330,745616616
331,745616617
332,745616622
333,745616625
334,894776567
335,894776568
336,894776569
337,62940
338,674055420
339,674055421
340,674055422
341,894776572
342,674055424
343,894776573
344,9473
345,9475
346,9476
347,9477
348,62941
349,9482
350,9483
351,850664717
352,850664718
353,850664723
354,837975317
355,837975318
356,850664725
357,850664727
358,837975323
359,837975324
360,837975328
361,70954
362,7469
363,7470
364,7471
365,70959
366,7478
367,7479
368,757960017
369,757960018
370,886871380
371,886871381
372,886871382
373,795411799
374,771810648
375,757960025
376,771810649
377,795411800
378,795411803
379,854060376
380,795411806
381,854060377
382,771810656
383,854060378
384,771810658
385,854060379
386,854060380
387,854060385
388,854060386
389,882009440
390,882009441
391,882009442
392,3428
393,3430
394,3429
395,842794349
396,842794350
397,3436
398,860994928
399,860994929
400,3435
401,842794356
402,842794357
403,842794358
404,860994935
405,860994937
406,860994939
407,665337237
408,665337238
409,665337239
410,665337240
411,66969
412,792243610
413,792243611
414,792243612
415,66971
416,66970
417,792243615
418,66972
419,66978
420,66979
421,66980
422,752129452
423,752129453
424,752129454
425,752129455
426,678460844
427,678460845
428,678460848
429,678460851
430,678460852
431,678460853
432,678460854
433,678460855
434,69062
435,69063
436,69065
437,69069
438,765478350
439,765478351
440,877723092
441,765478357
442,765478359
443,54743
444,54744
445,54745
446,54746
447,54748
448,877723101
449,877723102
450,54747
451,750374368
452,750374369
453,54754
454,62947
455,62946
456,62945
457,765398502
458,765398504
459,11753
460,11754
461,11752
462,765398509
463,750374382
464,882009434
465,750374384
466,675335665
467,675335666
468,675335667
469,882009435
470,11762
471,11761
472,882009436
473,807220729
474,807220730
475,675335676
476,807220734
477,807220735
478,807220736
479,58886
480,58887
481,58890
482,58891
483,58896
484,663047724
485,663047726
486,771810865
487,771810866
488,1588
489,663047733
490,1590
491,1591
492,771810872
493,771810874
494,663047739
495,1596
496,1597
497,689296963
498,689296967
499,689296969
500,829183564
501,829183565
502,829183566
503,765398611
504,829183573
505,829183574
506,829183575
507,842792537
508,842792538
509,842792539
510,842792545
511,842792546
512,842792547
513,65129
514,65130
515,734725741
516,734725742
517,65135
518,65136
519,3697
520,3698
521,734725747
522,3699
523,65137
524,729421432
525,729421433
526,729421434
527,729421435
528,3704
529,3707
530,61065
531,61066
532,61067
533,61068
534,61069
535,61070
536,61075
537,865722019
538,865722020
539,865722026
540,865722027
541,765398709
542,765398711
543,765398714
544,765398724
545,775474920
546,775474921
547,775474927
548,870434543
549,870434544
550,689297140
551,689297141
552,996378358
553,996378359
554,996378360
555,689297147
556,689297149
557,689297150
558,996378366
559,815075083
560,815075084
561,815075086
562,815075087
563,815075088
564,1861
565,1862
566,1863
567,1864
568,1865
569,726243151
570,726243152
571,726243153
572,726243154
573,726243162
574,857139046
575,857139047
576,71528
577,71529
578,71530
579,71531
580,71532
581,886871386
582,857139056
583,886871388
584,3962
585,3963
586,3964
587,3965
588,3966
589,779243393
590,3970
591,779243395
592,3971
593,738021267
594,738021268
595,738021269
596,738021273
597,738021274
598,869953434
599,869953436
600,869953443
601,716427172
602,716427173
603,716427180
604,716427181
605,716427182
606,731273141
607,731273142
608,829183929
609,731273147
610,731273148
611,829183931
612,829183934
613,710604742
614,710604744
615,710604745
616,710604748
617,710604749
618,710604750
619,710604751
620,829183949
621,829183950
622,865722328
623,865722329
624,865722331
625,865722332
626,865722333
627,67559
628,67560
629,67561
630,755384302
631,755384303
632,755384304
633,755384305
634,755384310
